Title,Plot
The Italian Key,"Upon receiving a key from her Uncle Max, Cabella travels to Italy where she discovers the key is related to a house named Cabella near a village. While traveling she stops near a waterfall to swim and loses the key, but a mysterious man returns the key. She then travels to the village, finds the house, and uses the key to open it. The next day she goes to the market where the mysterious man works and learns from his cousin Maria (Joanna Cartocci) that his name is Leo (Leo Vertunni) and he is deaf and mute. Maria and Cabella become friends and Maria introduces her sisters Sophia (Elisa Cartocci) and Giulia (Isadora Cartocci). Later that evening Maria tells Cabella that she has a crush on Lord Jai (Moose Ali Khan), a rich man from India that attended a boarding school. That night, Cabella has a conversation with a spirit named Angelo and has strange dreams about her mother. The next morning, Cabella finds a basket with goods such as eggs and apples sent by Leo. Maria then takes Cabella to her sister Ambrosia's funeral because she died from a heart attack. That night Angelo visits her and confesses that she must go to the cemetery to learn more information. At the cemetery, she meets Senior Bronzini, who, according to rumors, had a relationship with a nun when he was younger. Cabella decides to leave flowers for Chiara, a woman buried next to Ambrosia who has no flowers. Lord Jai comes back with a disabled friend. He is desperately looking for his sister, who turns out to be Cabella. She does not this know yet, and she visits Bronzini with Leo in order to learn more about Ambrosia. He tells her that she was pregnant and that right after she learned it she decided to join the monastery and to give the child up. The name of the child was Chiara. It also turns out that all the sisters have a passion for something. One is keen on painting and goes to the forest everyday to paint and the other believes that someone is going to come to her. That is why she waits at the bus station. Lord Jai asks Maria to come to his party as a guest. Maria tries to convinces Cabella to attend, but while they are trying to find an appropriate dress they discover an old red dress and purse which has a diary inside belonging to Chiara. They read it and discover Chiara went to India where she met a rich man named Max and Alexander, who is pianist, both of whom she loved. She was conflicted on who to love. Maria and Cabella then start a bet. If Chiara chose Alexander, Cabella is obliged to attend the party, but if not, then Maria must confess her love for Lord Jai. It is obvious that Chiara made love with Alexander the night before her departure and became pregnant. Angelo tells Cabella that Chiara is her mother. Giulia meets the disabled man and falls for him. Then, Max's nieces attempt to take the house where Cabella used to live. Lord Jai helps her and tells them to leave. Cabella learns that Lord Jai is her brother and that her mother adopted him and kept him until she died because of high fever. Later at the party he announces to everyone that he found his lost sister. After that Cabella meets Leo and she discovers that he is not deaf and is able to speak. Lord Jai marries Maria, Sophia start a romantic relationship with her friend, and Giulia finds her love. Angelo tells Chiara the news and she reunites with Max. Then Cabella finds Alexander, her father, and the scene ends with her and Leo walking in the fields together."
Vampire's Kiss,"Peter Loew (Nicolas Cage) is a driven literary agent and an example of the stereotypical narcissistic and greedy yuppie of the 1980s, who is slowly going insane. He works all day and club hops at night, with little in his life but alcohol, one night stands and the pursuit of money and prestige. He sees a therapist (Ashley) frequently, and during these sessions his declining mental health becomes clear through a series of increasingly bizarre rants that eventually begin to scare even the psychiatrist. After he takes home a girl he met in a club named Jackie (Kasi Lemmons), a bat flies in through his window, scaring them both. At his next session he mentions to his therapist that the struggle with the bat aroused him, and after visiting an art museum with Jackie the next day, he ditches her, and she leaves an angry message on his phone. Loew meets Rachel (Beals) at a night club, and takes her home. She pins him down, reveals vampire fangs and feeds on him. He soon begins to believe that he is changing into a vampire. He stares into a bathroom mirror and fails to see his reflection, he wears dark sunglasses during the day, and, when his ""fangs"" fail to develop, he purchases a pair of cheap plastic vampire teeth. All the while, Rachel visits him nightly to feed on his blood. Shortly after, Loew experiences mood swings and calls Jackie back apologetically, asking to meet her at a bar. As he is about to leave, a jealous Rachel appears and beckons him back inside. A dejected Jackie eventually leaves the bar and leaves an angry note on his door asking him to leave her alone. A subplot concerns a secretary working at Loew's office, Alva Restrepo (Alonso). Loew torments her by forcing her to search through an enormous file for a 1963 contract. When she fails to find the contract, he at first browbeats and humiliates her, then visits her at home, and finally attacks and attempts to bite her at the place where they both work. She mistakes the attempt to drink her blood as a rape attempt, causing her to pull out a gun, and Loew begs her to shoot him. Since it is only loaded with blanks, she fires at the floor to scare him off. He eventually overpowers her and mocks her rape-assumption by ripping her shirt open and knocking her down. He takes the gun and fires it into his mouth, but is not harmed by the blanks. Thinking he has transformed into a vampire, Loew goes out to a club wearing his vampire teeth and moving like the character Orlok from the film Nosferatu. He begins to seduce a woman, but when he gets too grabby she slaps him off, making Loew even more unhinged: he overpowers her and bites her neck, having taken out the fangs and using his real teeth. He then puts the plastic fangs back in. Leaving the club, Loew has a brief, ambiguous encounter with Rachel: she admits to knowing him, but gives the impression that they have not been in contact for a long period. He accuses her of being a vampire, and is expelled from the club. Alva wakes up with her shirt ripped open, possibly thinking she was raped, and eventually tells her brother Emilio about the sexual assault, who is enraged and goes after Loew to seek revenge. Meanwhile, Loew is wandering the streets in a blood-spattered business suit, talking to himself. In a hallucinatory exchange, he tells his therapist that he raped someone and also murdered someone else. Based on a newspaper, the latter appears to be true, as the girl he bit in the club is announced dead. As Loew returns to his now-disastrous apartment (which he'd been using as a sort of vampire cave) Alva points out Loew to her brother Emilio, who pursues him inside his home with a tire iron. In the midst of an argument with an imaginary romantic interest (supposedly a patient of his psychiatrist) Loew begins to retch again from the blood he had swallowed, and crawls under an upturned sofa, which he sees as his ""coffin"". Alva's brother Emilio finds him and upturns the sofa, and Loew holds a large broken shard of wood to his chest as a makeshift stake, repeating the gesture he had made earlier to strangers on the street when he had asked them to stake and kill him. Alva's brother, in a rage, pushes down on the stake and it pierces Loew's chest. Realizing he has comitted a crime, a scared Emilio flees the place. As Loew dies, he envisions the vampire-Rachel smiling at him one last time."
Vaanam,"Thillai ""Cable"" Raja (Silambarasan) is a cable operator born and raised in a slum area in Chennai. He bemoans his poverty and wishes to become rich by marrying his girlfriend Priya (Jasmin Bhasin). He cons her into believing he is well off, and adopts a well-bred persona in front of her. Raja is always accompanied by his best friend Seenu (Santhanam) and guided by Bhajan singer Ganesh (VTV Ganesh). When he is asked by Priya to buy high-priced passes to a New Year's Eve gala, he finds himself severely short of money. After a failed attempt at chain snatching and crossing paths with the police, he heads to a hospital with theft on his mind. Bharath Chakravarthy (Bharath) is an aspiring rockstar from Bangalore, who is irresponsible but well-meaning. His mother disapproves of his dreams and wishes him to become an army officer, which he opposes. When his band misses their flight to a live concert because of him, he takes them to Chennai via road. En route, Bharath and his girlfriend Laasya (Vega Tamotia) are attacked by religious fanatics, but are aided by strangers, which causes him to reflect on life. They finally arrive in Chennai, but their vehicle collides with an auto-rickshaw carrying a pregnant woman. Sacrificing their concert, Bharath and Laasya rush her to the hospital. Saroja (Anushka) is a prostitute working at Rani Amma's brothel at the Tamil Nadu-Andhra border. When she discovers that her life is constantly in danger while working there, she escapes to Chennai with her co-worker Karpooram (Nikki), a eunuch, in hopes of starting her own business venture. On arrival, she is hounded by both thugs and policemen, ultimately being led into a trap. In an ensuing fight, Karpooram is mortally wounded. Desperate, Saroja carries her to the hospital. Rahimuddin Qureshi (Prakash Raj) and his wife Zara (Sonia Agarwal) had lost their unborn twins in a communal riot in Coimbatore. When Zara becomes pregnant again a few months later, Rahim heads to Chennai to locate his younger brother who had run away following the riots. There, he comes into repeated conflict with anti-Muslim officer Shivaram (Ravi Prakash), who suspects him of being a terrorist. Despite his claims of innocence, Rahim is brutally assaulted by Shivaram, and admitted in the hospital under close watch. Lakshmi (Saranya) is the daughter-in-law of a poor weaver in Thoothukudi. When the weaver is unable to pay back a loan to a cruel money lender Narasimman (Kadhal Dhandapani), the latter kidnaps Lakshmi's young son, a bright student, and refuses to release him until his debt is cleared. Lakshmi arrives in Chennai with her father-in-law, hoping to sell her kidney to obtain the money. After initial hassles, she undergoes the operation and receives the money, although it is still insufficient. At that point, Raja enters and steals the cash from her, ignoring her pleas. In a state of despair, Lakshmi and her father-in-law contemplate suicide. Struck by his conscience, Raja is unable to continue his plan. He admits the truth to Priya and returns the money, even adding in some of his own money to give up, thus gaining Lakshmi's forgiveness. Meanwhile, Rahim discovers that terrorist leader Mansoor Khan (Jayaprakash) and his gang are planning to kill all the people at the hospital. Rahim tries to escape, but on seeing Bharath wheeling in a pregnant woman, he is reminded of his wife and offers to help them. The terrorist strike begins and several people are shot dead. Raja, Bharath, Rahim and Saroja lead a small bunch of survivors to an abandoned room. Raja and Bharath fight and kill a terrorist one-on-one, with Bharath sustaining multiple bullet wounds to his shoulder in order to save Saroja. Rahim saves Shivaram from a shooter and comes face to face with his own brother, who is part of the terrorist gang. When confronted, Rahim's brother shoots himself. Just then, Mansoor Khan reveals himself to be a human bomb, and primes to explode. Raja sacrifices himself by pulling Khan and falling out of the window followed by the explosion. In the aftermath, Bharath has lost one of his hands but is alive; he is hailed as a national hero. Saroja and Karpooram head toward a new decent life, hoping to find redemption. Lakshmi and her father-in-law manage to pay off the money lender and give her son a proper education. Shivaram apologises to Rahim and asks for forgiveness, which he grants and accepts him as a brother. Raja is mourned by the people in his community, and Priya as well, while Ganesh and Seenu hail him as a martyr."
The Sea of Grass,"The film opens in St. Louis, Missouri, on Lutie Cameron's (Katharine Hepburn) wedding day. She has had a short courtship with a cattle rancher of New Mexico. As she dresses, she receives a telegram from her fiancé Col. Brewton (Spencer Tracy) telling her to board the train for New Mexico to marry him in the small town of Salt Fork. The first person she meets in town is Brice Chamberlain (Melvyn Douglas), who warns her of likely unhappiness with Brewton, locally considered a tyrant. He takes her to the courthouse, where she sees Brewton testifying against a settler who had tried to stake a claim to part of the government-owned land where Brewton runs his cattle. Back at the ranch, Brewton takes her out to see the vast prairie. He explains how he had fought with Indians to run his cattle there and to make it fit for ranching. He runs his cattle on government-owned land, and opposes homesteaders because he believes the Great Plains do not get enough rain to sustain farming. Lutie struggles to understand Brewton's attraction to the forbidding prairie, but she tries to make the most of her new home. She convinces Brewton to allow a family of settlers onto the ranch, because she had befriended one of them. Brewton warns her that the settlers will not last more than six months, due to some unforeseeable, but certain, circumstance. When Lutie visits the settlers as they build their sod house, she is surprised to see Chamberlain. He is visiting the settlers because he had helped them file their claim on the land. He rides with Lutie on her way back home and confesses his attraction to her. Lutie confesses her struggles to adapt to her new home and her husband's emotional distance. Lutie gives birth to a daughter, Sara Beth. During a great blizzard, the settlers are alarmed by the sound of Brewton's cattle near their house. Fearful for his wheat crop, knowing its destruction would spell the ruin of his farm, the man goes out of the house with his rifle, planning to scare off the cattle. When they stampede, he shoots and kills one of the cows; he also wounds one of Brewton's cowboys, who were trying to herd the cattle in the storm. The rest of the ranch hands severely beat the farmer. His pregnant wife goes into the fierce storm to help him inside and loses her baby. When Lutie learns of the incident, she rides quickly out to the settlers' house, but they refuse to see her. Having lost their crop and baby, they are broken and concede the land to Brewton. Brewton tells Lutie that he had warned her the settlers faced severe challenges. Furious with him, Lutie decides to leave Salt Fork for a while. She goes to Denver. While planning to return to St. Louis, she runs into Chamberlain. The two have a discreet affair, and Lutie decides to return to Brewton. After her return to Salt Fork, she gives birth to a boy, whom she names Brock. She continues to struggle in Brewton's world. Chamberlain successfully lobbies for a Federal District Court in Salt Fork, and he wins election as its judge. He will preside over land disputes, which increase as the government encourages homesteading. Brewton believes that Chamberlain will decide in favor of settlers on ""his"" land. As he arms himself and his men to ward off the settlers, Lutie pleads with him to reconsider. They argue in the abandoned sod house, where Brewton prepares his ammunition, and he gets Lutie to confess to the affair with Chamberlain. She agrees to leave, but Brewton refuses to let her take the two children. Back in St. Louis, she consults a lawyer. He says that if she testifies in court that Chamberlain is Brock's father, she could win custody of her son, but she would certainly lose custody of Sara Beth. Convinced that fighting would cause too much damage to her children, Lutie stays away. She returns after two years in a futile attempt to reconnect with them, who no longer recognize her. Chamberlain tries to get her to fight for Brock's custody so they can run away together as a family, but Lutie says that she does not love him enough to marry him. As the years pass, the town doctor keeps Lutie informed about her children through letters. On his deathbed, he chides Brewton for driving Lutie away by his emotional distance. After the doctor's death, Chamberlain takes up the correspondence to tell Lutie about her children. He shares his concerns that Brock has grown into a reckless young man, too endowed with charm and luck. For years, Brock has endured taunts from townsfolk about his ""real father,"" but the truth has never been acknowledged outright. During a card game, his opponent refers repeatedly to Brock only as ""judge"", referring to Chamberlain. Brock gets drawn into conflict and, when his opponent draws his pistol, Brock shoots him fatally in the stomach. Once Brock is bailed out of jail, he returns home and confesses the incident to his father and sister. Brewton insists that Brock return to town and stand trial. In private, Brock confesses to his sister that he could not stand a trial because it would bring up the reason for the fight, and humiliate their father. Brock decides to flee, and the sheriff pursues him with a posse. Brewton goes after him when Sara Beth tells why Brock skipped bail. Brewton reaches the cabin where the posse is exchanging gunfire with Brock, who is holed up inside. When Brewton enters the cabin, he finds his son fatally shot. Having read in the newspaper that Brock was on the run, Lutie returns by train to Salt Fork. Just before arriving, she learns that he has been killed. She decides to keep traveling to San Francisco later that night. In town, she sees Brewton escorting Brock's body to the church, and she hides from view. Sara Beth visits her mother in her hotel room, warning her against trying to see Brewton and stirring up more trouble. Lutie tells Sara Beth that she is glad that Brewton will have his daughter to love him. Sara Beth breaks down and invites her mother back to the house, where she reconciles with Brewton."
Zakhm,"Music director Ajay (Ajay Devgn) argues with his wife, Sonia (Sonali Bendre) over whether to give birth to their child in a foreign country or in India (because of the insecurity caused by the Mumbai riots). Ajay soon learns that his mother (Pooja Bhatt) has been burned by a group of Muslim rioters while leaving a temple and is in critical condition. In flashback, the struggles which his mother had to undergo to raise her children are shown. She was in love with a Hindu film producer Raman Desai (Nagarjuna) but was not allowed to marry him on account of her Muslim faith. He marries her but does not document or acknowledge their marriage as it was done without any traditional upholdings. The fact that she had children with a Hindu man forces her to hide her faith and live her life as a Hindu, even in front of her son. After his father's death, Ajay realises his mother is a Muslim. She makes him promise to bury her according to her faith when she dies, for it is only through a proper burial that she will be able to find herself reunited with her lover in heaven. Ajay's mother succumbs to the burns. Sonia learns about her mother-in-law's past life and decides not to leave Ajay. She stands by him and supports his decision to bury his mother. However, Ajay's task is impeded by a fundamentalist leader Subodhbhai (Ashutosh Rana), who wanted to make this a political issue and encouraged the Hindu youth to kill Muslims. Anand (Akshay Anand) happens to be a youth leader and Ajay's brother. But when Anand comes to know of Subodhbhai's intentions, he stands by his brother's side to bury their mom per Islamic custom. Her body is buried as she had desired, and she reunites with Raman in heaven."
World Trade Center,"On September 11, 2001, Port Authority Police officers John McLoughlin and Will Jimeno are patrolling the Port Authority Bus Terminal in Midtown Manhattan when they see a plane fly dangerously low overhead. As all of the Police return to the station, they see on TV that the North Tower of the World Trade Center has been hit by the plane. Sergeant McLoughlin assigns many of the officers to assist in a precautionary evacuation attempt of the North Tower and they board a Metropolitan Transit Authority bus. On the bus, they hear reports that the South Tower is also hit by another plane. When they arrive at the World Trade Center, they realize the extent of the disaster, and see one of the victims jump out of the towers to certain death. The men proceed to get safety equipment from Building 5 and enter the concourse between the towers. The group consists of McLoughlin, Jimeno, Dominick Pezzulo and Antonio Rodrigues. Officer Christopher Amoroso appears to inform them of other events, such as the attack on the Pentagon, the second plane's hit on the South Tower and an attack on Israel though the group does not accept any of these as true. As the men prepare to enter the North Tower, the buildings begin to rumble. McLoughlin realizes that the South Tower is collapsing onto them and that their only chance of survival is to run into the service elevator shaft. Amoroso trips and does not have time to get up, and Rodrigues is unable to get to the shaft in time, resulting in both deaths. McLoughlin, Jimeno and Pezzulo manage to escape the huge amounts of dust and rubble flying down from the South Tower. However, as the rubble continues to crush the elevator shaft, the three are trapped. As the cascade of debris subsides, Pezzulo realizes he can free himself and manages to move nearer to Jimeno in order to shift the debris covering his legs, but cannot make it to McLoughlin as he is trapped deeper in the rubble. Pezzulo tries but fails to shift the debris due to its weight, and is instructed by McLoughlin not to leave. As Pezzulo becomes optimistic that they will live, the rumbling begins again as the North Tower starts to collapse. Although Jimeno and McLoughlin are not further harmed, Pezzulo is fatally injured when a concrete slab falls into the hole, crushing his torso. After he fires a gun through a gap in the rubble to try to alert rescuers to their position, he dies. Jimeno and McLoughlin spend hours under the rubble, in pain but exchanging stories about their lives and families. McLoughlin is particularly anxious to keep Jimeno from falling asleep and Jimeno also realizes that by straining to grab a metal bar above his body, he can make a noise that rescuers might hear. Two United States Marines, Dave Karnes and Jason Thomas, who are searching for survivors, do hear it and find the men, calling for help to dig them out. Jimeno is rescued first, and then hours later McLoughlin is lifted out of the debris, barely alive and in critical condition. They are then both reunited with their distraught families at the hospital. Two years after the attacks, McLoughlin and Jimeno attend a barbecue with their families: McLoughlin's wife Donna, Jimeno's wife Allison, daughter Bianca, and their newest addition Olivia. The epilogue states that John and Will were two of the 20 people pulled out alive and are now retired from active duty. Dave Karnes re-enlisted in the Marines."
The Love Affair,"Vince (Richard Gomez) and Trisha (Dawn Zulueta) are a married couple. Vince wants his marriage annulled after he finds out his wife is having an affair. He consults advice from a lawyer named Adie (Bea Alonzo) who is dealing with a similar situation as well. Stumbling from their own forefront and heartaches, the three will succumb to an unusual affair in the crossroads of their lives and regain strength from their downfalls. Will Vince and Trisha ever rekindle a broken flame? And will Adie have the chance to get up again?"
Bells of Rosarita,"Sue Farnum (Dale Evans) is cheated out of her inheritance by her late father's business partner Ripley (Grant Withers). Rogers, with the help of others, rescues her.[1]"
Horrorween,A group of people hunt Zombies. Horrorween is a homage to John Carpenter's classic Halloween.
The Calling,"Inspector Hazel Micallef (Susan Sarandon) is a police officer in the small Ontario town of Fort Dundas. She is called to check in on elderly Delia Chandler and finds the woman nearly decapitated in her living room. Chandler's mouth is twisted as if she is screaming. The police encounter another gruesome murder where a man's stomach has been fed to some dogs. His face was also twisted into a scream. After a third murder, the police come to believe they are dealing with a serial killer. They discover that the mouths have been positioned to form the syllables of the word ""Líbera"". Micallef consults Father Price (Donald Sutherland), a priest in the nearby Catholic church who specializes in Latin. Price explains the various meanings and uses of ""libera"", including a ""Resurrection Prayer"", which supposedly holds the power to raise the dead. He claims that Jesus was resurrected through the sacrifice of 12 willing souls. Micallef deduces that the serial killer she is pursuing is contorting his victims' faces into the 12 syllables of the Resurrection Prayer. Micallef's deputy, Ben Wingate (Topher Grace), uses his mother's travel points to fly to British Columbia to follow a lead from the Delia Chandler killing. He finds a woman at a trailer in the middle of the forest and learns that she is delivering gifts from ""the disciples"" and begs him not to enter the trailer. Inside, Wingate discovers more packages and a body wrapped in formaldehyde-soaked bandages. At a local coffee shop, a mysterious man (Christopher Heyerdahl) enters and chats with the waitress (Kristin Booth). She tells him that her daughter (Ella Ballentine) has terrible seizures, and he offers to help. At her house, he brews the child some tea and appears to smother her. When Micallef later visits the waitress, she learns that the daughter nearly died from the tea she drank but that a recent MRI revealed she was symptom-free. The young girl revealed that the mysterious man's name is Simon. Micallef consults the Coroner's Reports on the local victims and realizes that they were all poisoned. She also discovers that they were all terminally ill. She deduces that Simon is gathering his victims from an on-line forum for terminal patients. She tracks down his next victim and sends Wingate to prevent the murder. Wingate is not in time; and Simon grabs him from behind, injecting Wingate with a powerful sedative. Simon next turns up in Fr. Price's church, where they talk briefly about Simon's mission. It becomes clear that Simon is attempting to resurrect the body in his trailer and that Fr. Price will be his next victim, because he, too, is terminally ill. Fr. Price is willing to be a sacrifice, but he begins to doubt that they are doing the right thing. Wingate and Micallef arrive too late to save Fr. Price. A nun informs Micallef that Simon's real name is Peter and that he and his brother were orphans under Fr. Price's care. One of them was adopted while the other was left in the orphanage. The dead body in the trailer is Peter's brother, who had committed suicide a year earlier. Micallef's superiors have deduced who Peter's next victim will be, and they have already secured him. Micallef resents being left off the team that will arrest Peter. She finishes off a bottle of whiskey and goes home in a stupor. Peter is waiting for her there. He drugs her and takes her to a farmhouse where he brews her some of his tea. He explains his mission to her, but she remains confused about why he would want to resurrect his brother, who did not want to live. Peter gets her to admit that the true source of her pain is the loss of her baby, and she nearly agrees to be his 12th victim. As she is about to drink the poison, she decides against it. Peter kills himself instead. The film ends with the police raiding the trailer and finding the bed empty."
In Harm's Way,"John Wayne stars as U.S. Navy Captain Rockwell ""Rock"" Torrey, a divorced ""second generation Navy"" son of a career Chief Petty Officer. A Naval Academy graduate and career officer, Torrey is removed from command of his heavy cruiser for ""throwing away the book"" when pursuing the enemy and then being torpedoed by a Japanese submarine after the attack on Pearl Harbor. Torrey's executive officer, Commander (later Captain) Paul Eddington (Kirk Douglas), is a wayward sort who resigned as a naval aviator and returned to the surface navy because of an unhappy marriage. His wife's affairs and drunken escapades have become the talk of Honolulu, and her death during the Pearl Harbor attack—in the company of an Army Air Corps Officer (Hugh O'Brian), with whom she had a wild fling on a local beach—drives Eddington into a bar brawl with a group of Army Air Corps officers, a subsequent stint in the Pearl Harbor brig, then exile as the ""... officer in charge of piers and warehouses ..."" in what he calls a ""backwater island purgatory."" After months of desk duty in Hawaii and recuperation from a broken arm he suffered in the attack, Torrey begins a romance with divorced Navy Nurse Corps lieutenant Maggie Haynes (Patricia Neal), who tells him that his estranged son Jeremiah (Brandon De Wilde) is now an ensign in the Naval Reserve on active duty, assigned to a PT boat, and dating Maggie's roommate, a Nurse Corps ensign. A brief and strained visit with Jeremiah brings Torrey in on a South Pacific island-hopping offensive codenamed ""Skyhook,"" which is under the command of overly cautious Vice Admiral B.T. Broderick (Dana Andrews). On additional information from his BOQ roommate, Commander Egan Powell (Burgess Meredith), a thrice-divorced Hollywood film writer and Naval Reserve intelligence officer called to active duty, Torrey guesses that the aim of Skyhook is to capture a strategic island named Levu-Vana, whose central plain would make an ideal airfield site for Army Air Forces Boeing B-17 Flying Fortress squadrons. Maggie informs him that her unit is to be shipped out to the same area in preparation for the offensive. Maggie's roommate, Ensign Annalee Dohrn (Jill Haworth), has been dating Torrey's son. Jere is arrogant and conspiring with a superior officer, former congressman Commander Neal Owynn (Patrick O'Neal), to do as little as possible in combat. Dohrn's romance with Jere ends and Eddington develops an interest in her. In the meantime, Torrey's loyal and resourceful young flag lieutenant, Lieutenant Commander William ""Mac"" McConnell (Tom Tryon), uses a 30-day leave to get reacquainted with wife Beverly (Paula Prentiss), a civilian observer for the Navy who worries that Mac will be killed in action and wants a child. Come the summer of 1942, Torrey is promoted to rear admiral by the Pacific fleet's commander-in-chief (Henry Fonda), who then gives him tactical command of Skyhook, an assignment requiring the same sort of guts and gallantry he previously displayed as commanding officer of his cruiser. Torrey personally selects Paul Eddington to be his Chief of Staff, and infuriates Broderick by immediately planning and executing an operation to overrun Gavabutu, an island to be used as a staging base for the invasion of Levu-Vana. Owynn is now Broderick's aide, with Jere still by his side. The Japanese have withdrawn their garrisons from Gavabutu, making it an easy capture. But as Torrey turns his undivided attention to Levu-Vana, his attempts to secure more material and manpower are frustrated by General Douglas MacArthur's simultaneous and much larger campaign in the Solomon Islands. Reconnaissance aircraft prove especially difficult to come by, and surface combatant forces amount to little more than several cruisers and destroyers, including Torrey's former command, now skippered by his former exec, Captain Burke (Carroll O'Connor). When the mission succeeds, Jere recognizes the disloyalty of Owynn and Broderick and gains a new regard for his father. Eddington's instability drives him to rape Dohrn, who is now engaged to Torrey's son. The traumatized nurse, fearing she might be pregnant, tries to tell him but he doesn't believe her. She then commits suicide with an overdose of sleeping pills. As the truth is about to be revealed, Eddington—still a qualified aviator—commandeers a North American PBJ Mitchell patrol bomber and flies solo on an unauthorized reconnaissance flight to locate elements of the Japanese fleet. Engaged, shot down, and killed by Japanese Zero fighters, he goes down in a fiery death in a redeeming act of sacrifice, finding and giving advance warning of a large Japanese task force centered around the super-battleship Yamato, on its way to blast Torrey's much smaller force off the islands. Despite the new seaborne threat, Torrey nevertheless mounts the invasion of Levu-Vana and proceeds with a nothing-to-be-lost attempt to turn back the enemy force. Tragically, his son Jere is killed during a nighttime PT boat action when he is rammed by a Japanese destroyer. The following morning sees a pitched surface action off the shores of Levu-Vana, with the Americans drawing first blood and the Yamato decimating much of the U.S. force in response. Many lives are lost, Powell's among them. Severely injured at the height of the battle, resulting in the amputation of his left leg, Torrey is rescued by his flag lieutenant, LCDR McConnell, and is returned to Pearl Harbor aboard a Navy hospital ship under Maggie's care. Expecting to be court-martialed, Torrey is instead congratulated by CINCPAC for successfully repelling the Japanese advance and allowing his Marines to take Levu-Vana. Although Torrey has lost a leg, he is told by CINCPAC he will get a peg leg and then command a task force and ""stump his way to Tokyo"" with the rest of the Allied forces. CINCPAC and McConnell leave Maggie and a drowsy Torrey. Maggie pulls the blinds which slightly surprises Torrey who calls out ""Maggie!"". She responds in a calming voice ""I'll be here, Rock"" and Torrey lapses into sleep. The last shot is of Maggie warmly smiling back at him."
Kinnikuman the Movie: Hour of Triumph! Justice Superman,"(マッスル人参争奪！超人大戦争, Massuru Ninjin Soudatsu! Choujin Dai Sensou) In order to save a princess, Mantarou and the gang must find a special ginseng. They are later joined by Kevin Mask."
A Lovely Way to Die,"After quitting his job as a police detective, Jim Schuyler accepts an offer from lawyer Tennessee Fredericks to protect Rena Westabrook, who's about to go on trial for the murder of her wealthy husband. Rena is accused of conspiring with a lover, Jonathan Fleming, to kill Westabrook for his money. She has an alibi from Sean Magruder, who says he witnessed her in a bar at the time of the murder, but Schuyler ends up finding Magruder dead in a car. A gang responsible for the death of a British man named Finchley appears to be behind Westabrook's and Magruder's murders as well. Rena is the next target after being acquitted in court, but Schuyler heroically saves her life."
Goodbye Promise,"When Matt moved to Hollywood he made a pact with himself that if he wasn't a working actor in exactly seven years he'd quit the business and move back to Washington, DC. As the film opens Matt finds himself seven days shy of his self-prescribed deadline, and he's just as anonymous as the day he arrived into town. After an afternoon of soul searching in the mountains he decides to honor his deadline, and plans to spend his final week in Hollywood visiting friends to tell them he's leaving for good and that he'll have a going away party to cap it all off. With a couple days left before his going away party and tension mounting, Matt visits his eclectic mix of friends and people who have affected him over the years. Despite intending to tell them he's quitting the business, he chickens out, not quite being able to bring himself to tell them. On the night of the going away party he starts to think he's been stood up by everyone he thought he cared about and thought cared about him. But finally Dylan shows, then Robert, Amanda, JR - even Mylo, which means a great deal to Matt - and before long all the people he's visited over the past week are at the party. Amid drinks and music each friend stands up and gives their ""goodbye Matt"" speeches, making it clear that even though Matt's leaving he'll never be forgotten; he may be giving up on his dreams but he's been a good friend and helped a lot of people. In the middle of Matt's going away speech Sara pops in, looking beautiful, and Matt becomes so shocked and tongue-tied that he has to cut his speech short and take Sara out back alone. It is here that Matt asks her bluntly: ""If I stay in Hollywood would you be with me?"" She shakes her head. This is the final straw. There's officially nothing keeping him in Los Angeles. Matt is emasculated, and now more inspired than ever to leave Los Angeles in his rear view mirror. He heads back into the party to say his final goodbyes. During the goodbyes Matt notices he has a phone message. He excuses himself and checks it in a quiet back room. The message is from his agent, who has gotten him a big audition for a new Jerry Bruckheimer pilot. But they want Matt on the same day he's set to drive back to DC. He's made up his mind, though. He's leaving for good. He finishes his goodbyes, goes home and packs his car for an early morning exit. In the wee hours of the morning Matt gases up at a gas station and drives to a red light right before the freeway. He waits for the traffic light to turn green, and when it does, he just sits there, idling. The cars behind him honk and screech around him, but Matt refuses to budge at that green light. After a minute or so the light is still green, and he's still there, stone-faced. A satisfied smirk forms on his lips. Cut to black."
April Fool,"Ashok comes from a wealthy family, which is run by his dad, and elder brother, Alok. Ashok himself is a slacker, and is only interested in slacking, and playing practical jokes, and no doubt his favorite day is fool's day, 1 April, when he outdoes himself. His jokes befriend him with Madhu, and both fall in love. Then a practical joke hits the truth, and both Ashok and Madhu become targets of an international gang, and must run for their own safety, as well as for the safety of their respective families."
Thamizh,"Thamizh (Prashanth) leads a happy life with his mother (Manorama) and sister-in-law Kalaichelvi (Urvasi). His brother (Livingston) is working in Kuwait, and Thamizh too dreams of joining him there. Meenakshi (Simran), their tenant, and Thamizh fall in love. When the goons of Periyavar (Ashish Vidyarthi) injure Thamizh's niece, he stops Periyavar's car on the road and questions him. He then beats up one of Periyavar's goons when insulted. This makes him Periyavar's target, and though he tries to withdraw from the violence, he is forced to join forces with Rathnam (Nassar), Periyavar's sworn enemy, and eventually defeats him."
